"ID","ELEV","COVRG","NAT","AGR","ANIMALS"
1000,NA,60,2,5,197
1001,1759.345459,2.1,3,2,NA
1002,1751.965332,25,1,5,NA
1003,1767.294189,3.1,3,4,NA
1004,1757.526855,18,1,2,NA
1005,1780.545654,6,4,0,NA
1006,1768.855225,30,3,4,NA
1007,1747.473511,15.1,0,1,NA
1008,1780.675659,65,4,1,NA
1009,1754.922363,8,5,2,NA
1010,1757.347656,15,1,1,NA
1011,1767.572632,7.5,2,5,NA
1012,1754.384888,13,3,3,NA
1013,1745.4375,6,0,1,NA
1014,1754.044434,15,0,2,NA
1015,1752.250732,50,1,3,NA
1016,1752.315796,28,2,3,NA
1017,1770.955811,60,1,3,NA
1018,1755.380127,65,4,1,NA
1019,1803.779053,45,1,1,NA
1020,1770.43689,13,3,1,NA
1021,1829.897949,85,1,1,124
1022,1799.96228,30,2,2,NA
1023,1943.982788,0,1,1,NA
1024,1824.761353,40,3,3,NA
1025,1754.344238,18,1,2,NA
1026,1857.553955,10,0,1,NA
1027,1777.542114,60,1,1,NA
1028,1727.424072,30,4,2,52
1029,1810.186157,65,1,1,NA
1030,1736.984131,50,6,3,2
1031,1820.740234,45,1,3,NA
1032,1755.181885,35,3,4,NA
1033,1880.003906,65,4,2,NA
1034,1772.038574,45,3,5,NA
1035,1757.817627,20,2,2,NA
1036,1751.426758,30,2,3,NA
1037,1772.413086,75,3,2,89
1038,1798.294678,70,3,2,NA
1039,1820.318481,25,3,1,NA
1040,1751.750977,18,2,1,NA
1041,1754.626465,5,3,3,NA
1042,1777.447021,25,3,1,NA
1043,1793.072998,110,3,1,NA
1044,1769.107788,78,1,2,NA
1045,1753.324707,3,3,3,NA
1046,1765.236328,25,4,1,NA
1047,1778.747803,20,7,1,NA
1048,1815.148926,8,5,0,NA
1049,1743.69458,30,3,1,NA
1050,1752.656738,80,4,2,NA
1051,1783.664429,35,1,1,NA
1052,1747.03772,23,2,1,NA
1053,1737.102539,10,1,3,NA
1054,1751.645752,10,3,0,NA
1055,1751.064453,43,1,3,NA
1056,1780.900879,15,4,3,NA
1057,1770.821533,13,3,2,NA
1058,1796.166504,45,5,1,NA
1059,1740.054688,43,2,3,NA
1060,1758.666748,20,9,1,NA
1061,1743.329834,30,1,4,NA
1062,1748.399414,3,4,1,NA
1063,1761.750366,53,2,4,NA
1064,1745.868164,30,2,1,NA
1065,1740.624268,33,2,3,NA
1066,1745.511841,50,5,5,NA
1067,1748.918335,20,4,5,NA
1068,1749.545654,40,4,2,76
1069,1760.876465,23,1,1,NA
1070,1753.354736,60,8,1,NA
1071,1746.77063,45,3,3,NA
1072,1749.348267,50,4,2,NA
1073,1753.093262,3,3,1,NA
1074,1752.942627,15,4,0,19
1075,1749.504639,25,3,1,NA
1076,1742.409668,25,4,2,81
1077,1738.324097,20,2,5,NA
1078,1748.872314,45,2,1,49
1079,1744.531006,55,1,4,NA
1080,1769.005127,30,2,1,51
1081,1760.058594,30,3,4,NA
1082,1794.762451,20,3,1,NA
1083,1779.657715,90,4,3,NA
1084,1824.304443,3,5,0,NA
1085,1802.060913,20,2,3,NA
1086,1725.482178,50,1,4,NA
1087,1737.786621,90,1,2,NA
1088,1746.847778,35,2,3,60
1089,1737.406006,60,2,3,52
1090,1753.044189,15,4,3,NA
1091,1756.900879,20,2,3,NA
1092,1756.321655,35,3,3,56
1093,1792.610596,13,1,1,NA
1094,1768.584717,20,3,2,NA
1095,1828.775146,3,2,3,NA
1096,1776.49939,60,2,4,99
1097,1721.331299,35,3,2,55
1098,1774.966309,15,4,3,NA
1099,1736.109619,13,1,4,NA
1101,1753.077637,15,3,3,NA
1102,1794.978516,30,4,3,143
1103,1779.121216,35,3,4,NA
1104,1737.283691,50,4,5,60
1105,1716.086426,25,1,5,NA
1106,1789.837402,30,4,4,26
1107,1728.301636,20,2,2,NA
1108,1801.817383,35,5,3,NA
1109,1754.339111,3,3,1,NA
1110,1817.084473,30,6,4,NA
1111,1785.275879,35,3,3,NA
1112,1810.942627,8,4,2,NA
1113,1720.776611,50,1,4,73
1114,1793.178345,13,4,2,NA
1115,1739.408691,0,3,2,NA
1116,1778.947998,23,3,1,NA
1117,1763.461426,13,2,1,NA
1118,1757.89209,30,3,3,NA
1119,1737.40271,60,5,1,17
1120,1743.159302,15,5,2,NA
1121,1732.337524,90,2,1,NA
1122,1729.72998,0,1,3,0
1123,1737.217285,10,3,2,NA
1124,1731.942017,0,0,2,112
1125,1753.829834,13,2,1,NA
1126,1738.17334,60,6,3,12
1127,1731.181885,25,2,2,NA
1128,1757.698975,33,4,4,138
1129,1734.190674,40,7,2,35
1130,1801.777954,8,2,1,22
1131,1745.103271,25,5,0,35
1132,1764.385498,15,3,1,33
1133,1758.460938,65,9,0,NA
1134,1821.69458,8,2,1,7
1135,1732.542847,20,3,2,NA
1136,1789.572144,8,7,1,7
1137,1736.12915,25,4,0,14
1139,1738.864258,15,3,0,11
1141,1749.294678,8,5,0,NA
1143,1728.275391,30,3,2,NA
1145,1741.58667,35,6,1,17
1147,1757.23877,40,3,2,28
1149,1734.003174,10,3,0,NA
1151,1769.379883,75,3,3,62
1153,1799.289429,35,4,4,NA
1155,1731.313721,80,3,2,NA
1157,1756.363525,70,3,2,57
1159,1775.581299,60,5,5,NA
1161,1765.652954,35,2,2,9
1163,1727.890015,15,2,3,67
1165,1747.66626,25,3,1,117
1167,1744.954102,35,3,3,44
1169,1758.003418,90,3,2,56
1171,1751.897217,23,3,3,52
1173,1755.544189,75,4,1,19
1175,1766.289062,18,1,3,7
1177,1777.627563,73,1,2,32
1179,1753.223511,33,0,2,12
1181,1785.245728,93,0,2,134
1183,1761.468018,63,2,1,24
1185,1755.484375,40,2,2,53
